Date,Last Price,Volume
1/21/25 11:30,54.58,16183
1/21/25 11:45,54.77,12347
1/21/25 12:00,54.91,7368
1/21/25 12:15,54.88,26372
1/21/25 12:30,54.92,8931
1/21/25 12:45,55.07,17919
1/21/25 13:00,55.345,10739
1/21/25 13:15,55.53,37424
1/21/25 13:30,55.62,18881
1/21/25 13:45,55.58,15644
1/21/25 14:00,55.53,12250
1/21/25 14:15,55.545,13736
1/21/25 14:30,55.53,34605
1/21/25 14:45,55.45,17906
1/21/25 15:00,55.32,25137
1/21/25 15:15,55.49,35656
1/21/25 15:30,55.46,31575
1/21/25 15:45,55.56,99402
1/22/25 9:30,55.82,23904
1/22/25 9:45,56.24,22109
1/22/25 10:00,55.72,10483
1/22/25 10:15,55.78,5846
1/22/25 10:30,55.8,7455
1/22/25 10:45,55.735,4722
1/22/25 11:00,55.3928,10187
1/22/25 11:15,55.545,10391
1/22/25 11:30,55.97,12713
1/22/25 11:45,55.96,7092
1/22/25 12:00,56.005,9599
1/22/25 12:15,56.005,6751
1/22/25 12:30,55.855,4678
1/22/25 12:45,55.77,5800
1/22/25 13:00,56.01,15101
1/22/25 13:15,55.915,3272
1/22/25 13:30,55.92,6549
1/22/25 13:45,55.755,6096
1/22/25 14:00,55.88,8816
1/22/25 14:15,55.79,9071
1/22/25 14:30,56,9739
1/22/25 14:45,56.15,9405
1/22/25 15:00,55.9193,13398
1/22/25 15:15,55.905,11774
1/22/25 15:30,55.945,35920
1/22/25 15:45,56.05,75519
1/23/25 9:30,55.39,19255
1/23/25 9:45,55.0988,9462
1/23/25 10:00,55,32138
1/23/25 10:15,55.44,9657
1/23/25 10:30,55.9,14898
1/23/25 10:45,55.795,6693
1/23/25 11:00,56.075,14294
1/23/25 11:15,56.15,4717
1/23/25 11:30,56.0562,12432
1/23/25 11:45,55.935,11960
1/23/25 12:00,55.915,6512
1/23/25 12:15,56.22,18040
1/23/25 12:30,56.42,12352
1/23/25 12:45,56.11,22668
1/23/25 13:00,56.14,17190
1/23/25 13:15,56.21,13033
1/23/25 13:30,56.17,11139
1/23/25 13:45,56.34,5430
1/23/25 14:00,56.28,11294
1/23/25 14:15,56.19,15671
1/23/25 14:30,56.1799,16082
1/23/25 14:45,56.165,10222
1/23/25 15:00,56.3,19638
1/23/25 15:15,56.02,25862
1/23/25 15:30,55.71,53394
1/23/25 15:45,55.71,147801
1/24/25 9:30,56.635,28647
1/24/25 9:45,56.595,14312
1/24/25 10:00,56.67,14845
1/24/25 10:15,56.56,13645
1/24/25 10:30,56.52,4597
1/24/25 10:45,56.975,20505
1/24/25 11:00,57.225,17874
1/24/25 11:15,57.05,16386
1/24/25 11:30,56.98,11388
1/24/25 11:45,56.64,11902
1/24/25 12:00,56.385,22994
1/24/25 12:15,56.44,11775
1/24/25 12:30,56.57,9619
1/24/25 12:45,56.5,14447
1/24/25 13:00,56.575,12947
1/24/25 13:15,56.76,6479
1/24/25 13:30,56.91,15257
1/24/25 13:45,56.5275,16889
1/24/25 14:00,56.34,20252
1/24/25 14:15,56.35,14524
1/24/25 14:30,56.24,5425
1/24/25 14:45,56.26,12585
1/24/25 15:00,56.295,14098
1/24/25 15:15,56.29,17643
1/24/25 15:30,56.62,25262
1/24/25 15:45,56.54,84446
1/27/25 9:30,55.74,60085
1/27/25 9:45,56.565,26683
1/27/25 10:00,56.25,11238
1/27/25 10:15,56.68,8022
1/27/25 10:30,56.9,6870
1/27/25 10:45,56.92,16100
1/27/25 11:00,56.35,22611
1/27/25 11:15,56.175,16370
1/27/25 11:30,56.1201,15748
1/27/25 11:45,56.29,11300
1/27/25 12:00,56.17,7647
1/27/25 12:15,56.2101,21677
1/27/25 12:30,56.1,7656
1/27/25 12:45,56.085,13549
1/27/25 13:00,55.68,27339
1/27/25 13:15,55.35,43515
1/27/25 13:30,55.43,16979
1/27/25 13:45,55.3799,14541
1/27/25 14:00,55.26,8285
1/27/25 14:15,55.56,6244
1/27/25 14:30,55.01,35173
1/27/25 14:45,54.9,20555
1/27/25 15:00,55.01,46038
1/27/25 15:15,55.095,15410
1/27/25 15:30,55.245,20250
1/27/25 15:45,55.39,97240
1/28/25 9:30,55.54,39947
1/28/25 9:45,56.08,29404
1/28/25 10:00,56.2,44646
1/28/25 10:15,56.83,31623
